avg_sentiment,mention_count,positive_ratio,negative_ratio,confidence,sentiment_score,ticker
0.8823519349098206,1,1.0,0.0,0.8823519349098206,0.8823519349098206,LMND.WS
0.8195380568504333,1,1.0,0.0,0.8195380568504333,0.8195380568504333,IBO
0.6949014098353575,4,0.75,0.0,0.8864467144012451,0.6949014098353575,AUST
0.6842702727534241,3,0.6666666666666666,0.0,0.793042798837026,0.6842702727534241,BCV
0.6791382431983948,1,1.0,0.0,0.6791382431983948,0.6791382431983948,CLDI
0.6377852559089661,1,1.0,0.0,0.6377852559089661,0.6377852559089661,EXOD
0.6329732359667023,33,0.7575757575757576,0.0,0.739427463574843,0.6329732359667023,MTNB
0.6301121003787219,10,0.8,0.0,0.7867814660072326,0.6301121003787219,EMX
0.5981886921927653,2,0.5,0.0,0.7919493615627289,0.5981886921927653,ORLA
0.5515645623218344,9,0.6666666666666666,0.0,0.7066820793681674,0.5515645623218344,IHT
0.534551034550703,5,1.0,0.0,0.534458339214325,0.534551034550703,PHGE
0.5033483043398378,5,0.6,0.0,0.7433133244514465,0.5033483043398378,LSF
0.5033367300327031,21,0.6666666666666666,0.047619047619047616,0.7202052403064001,0.5033367300327031,NGD
0.502829555686091,2,0.5,0.0,0.7707424461841583,0.502829555686091,BDL
0.4857333894881462,4,0.5,0.0,0.7542965114116669,0.4857333894881462,MPU
0.475179055322438,28,0.6428571428571429,0.0,0.7577128729649952,0.475179055322438,FSI
0.4696778854115166,5,0.6,0.0,0.7231767535209656,0.4696778854115166,NRO
0.4621682329343978,6,0.6666666666666666,0.16666666666666666,0.6252489387989044,0.4621682329343978,CTM
0.44564783554356513,8,0.5,0.0,0.7256702035665512,0.44564783554356513,GAU
0.4390356595455672,5,0.6,0.0,0.7033122181892395,0.4390356595455672,BHM
0.43781814003054625,6,0.5,0.0,0.767795741558075,0.43781814003054625,SBEV
0.4243384439049045,2,0.5,0.0,0.836257129907608,0.4243384439049045,ATCH
0.3932809354482858,6,0.5,0.0,0.8213743368784586,0.3932809354482858,GRF
0.3864348632308996,10,0.6,0.1,0.718509829044342,0.3864348632308996,GNS
0.3831719637563559,13,0.5384615384615384,0.0,0.6754887745930598,0.3831719637563559,RLGT
0.35786135360538124,11,0.45454545454545453,0.0,0.7482722401618958,0.35786135360538124,REPX
0.33745495466457553,31,0.41935483870967744,0.0,0.8189687200130955,0.33745495466457553,OGEN
0.33223332308743997,58,0.4482758620689655,0.034482758620689655,0.7371164544902998,0.33223332308743997,BTG
0.32191152916077737,4,0.5,0.0,0.6650557667016983,0.32191152916077737,BRIA
0.3194607635196362,10,0.4,0.1,0.7111357271671295,0.3194607635196362,OBE
0.31763747397196807,2,0.5,0.0,0.7005102634429932,0.31763747397196807,DVS
0.3129543615632836,7,0.42857142857142855,0.0,0.7214691298348563,0.3129543615632836,CNL
0.30692487052259276,61,0.4426229508196721,0.01639344262295082,0.6919060515575721,0.30692487052259276,MYO
0.3066639163983658,35,0.4,0.05714285714285714,0.7197583709444318,0.3066639163983658,BMNR
0.30525339645888233,11,0.5454545454545454,0.09090909090909091,0.7242417227138173,0.30525339645888233,SVM
0.2933478449546991,43,0.4883720930232558,0.046511627906976744,0.684132804704267,0.2933478449546991,NNVC
0.29156560547657046,5,0.6,0.2,0.5477835536003113,0.29156560547657046,MWG
0.2746917781851476,13,0.38461538461538464,0.0,0.736662915119758,0.2746917781851476,APUS
0.27120846007002763,12,0.4166666666666667,0.0,0.6929836968580881,0.27120846007002763,TGB
0.26449482830861615,79,0.3291139240506329,0.02531645569620253,0.7135316435294815,0.26449482830861615,DNN
0.2615885015898611,8,0.375,0.0,0.7229069322347641,0.2615885015898611,XTNT
0.2601383328437805,2,0.5,0.5,0.7441106140613556,0.2601383328437805,NTIP
0.2596781104017669,4,0.5,0.0,0.74509496986866,0.2596781104017669,GROY
0.25941504565922835,70,0.42857142857142855,0.0,0.7109411610024315,0.25941504565922835,PLX
0.2511500412765055,56,0.375,0.05357142857142857,0.719653561179127,0.2511500412765055,BQ
0.2440144219495954,2,0.5,0.0,0.6064688563346863,0.2440144219495954,UMAC
0.23849586797112773,100,0.39,0.08,0.7373609459400177,0.23849586797112773,EP
0.22951992090766987,12,0.4166666666666667,0.16666666666666666,0.650617927312851,0.22951992090766987,MXC
0.22728581356713012,5,0.4,0.0,0.6324367642402648,0.22728581356713012,MAIA
0.22333727324183988,4,0.25,0.0,0.7957862466573715,0.22333727324183988,GGN
0.21893601825154327,8,0.5,0.0,0.680949330329895,0.21893601825154327,INTT
0.2134933290739983,3,0.3333333333333333,0.0,0.5849335789680481,0.2134933290739983,IAF
0.21274961808082432,3,0.3333333333333333,0.0,0.8122915625572205,0.21274961808082432,AMBI
0.211563239874787,10,0.5,0.0,0.690677797794342,0.211563239874787,MLSS
0.20823162906059292,39,0.358974358974359,0.05128205128205128,0.7296327658188648,0.20823162906059292,INDO
0.20740710641056553,21,0.3333333333333333,0.047619047619047616,0.8078156255540394,0.20740710641056553,EPM
0.1985406061677715,90,0.3111111111111111,0.06666666666666667,0.7165260523557663,0.1985406061677715,DHY
0.19849148471738529,146,0.3561643835616438,0.136986301369863,0.7125623856913553,0.19849148471738529,SOAR
0.19818156403957593,153,0.37254901960784315,0.10457516339869281,0.7109782970419117,0.19818156403957593,NG
0.19669713537133438,37,0.32432432432432434,0.0,0.729224359666979,0.19669713537133438,VNRX
0.19390266120486244,41,0.21951219512195122,0.0,0.8259971258116932,0.19390266120486244,CMT
